Rodovia;Tipo de Rodovia;Orientação;Origem;Municipio;Regional (CGR);Sede Coordenadoria Geral Regional;Km Inicial;Km Final;Extensão;Descrição Inicial;Descrição Final;Jurisdição;Administrador;Conservador;TipoPista;Sobreposição;Subposição;Perímetro Urbano;Data de Início do Contrato;Data de  Fim do Contrato;Estadual Coincidente;Denominação;Legislação;TPUso;Transf. Municipio;Subtrecho
SPA 160/250;Acesso;Sem Informação;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;0,000;0,704;0,704;SP 250;Divisa Municipal São Miguel Arcanjo / Pilar do Sul;Estadual;Concessionária;Rota Sorocabana;PAV; ; ;Não;29 03 2025;29 03 2055;Nã;José de Almeida Rosa;Lei 9.327 de 26/12/1995; ; ;250SPA7119
SPA 160/250;Acesso;Sem Informação;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;0,704;15,900;15,196;Divisa Municipal São Miguel Arcanjo / Pilar do Sul; Pilar do Sul;Estadual;Concessionária;Rota Sorocabana;PAV; ; ;Não;29 03 2025;29 03 2055;Nã;José de Almeida Rosa;Lei 9.327 de 26/12/1995; ; ;250SPA4647
SPA 180/250;Acesso;Sem Informação;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;0,000;0,490;0,490;SP 250;São Miguel Arcanjo;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã; ; ; ; ;250SPA7955
SPA 173/250;Acesso;Sem Informação;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;0,000;1,600;1,600;SP 250;São Miguel Arcanjo;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;José Alves Machado;Lei 2.437 de 12/09/80; ; ;250SPA3745
SPA 099/139;Acesso;Sem Informação;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;0,000;2,300;2,300;SP 139;Variante Extensão SP 139 (km 99,960 Ao km 103,100) São Miguel Arcanjo;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Alcidino França;Lei 7.981 de 23/07/92; ; ;139SPA8044
SP 250;Eixo;Radial;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;158,600;159,290;0,690;Divisa Municipal Pilar do Sul / São Miguel Arcanjo;Entroncamento SPA 160/250;Estadual;Concessionária;Rota Sorocabana;PAV; ; ;Não;29 03 2025;29 03 2055;Nã;Nestor Fogaça;Lei 2.175 de 26/11/79; ; ;250SPE1821
SP 250;Eixo;Radial;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;159,290;173,720;14,430;Entroncamento SPA 160/250;Entroncamento SPA 173/250 - Acesso São Miguel Arcanjo;Estadual;Concessionária;Rota Sorocabana;PAV; ; ;Não;29 03 2025;29 03 2055;Nã;Nestor Fogaça;Lei 2.175 de 26/11/79; ; ;250SPE3305
SP 250;Eixo;Radial;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;173,720;176,550;2,830;Entroncamento SPA 173/250 - Acesso São Miguel Arcanjo;Fim do trecho em concessão;Estadual;Concessionária;Rota Sorocabana;PAV; ; ;Não;29 03 2025;29 03 2055;Nã;Nestor Fogaça;Lei 2.175 de 26/11/79; ; ;250SPE1532
SP 250;Eixo;Radial;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;176,550;177,150;0,600;Fim do trecho em concessão;Entroncamento SP 139 (km 99,96) (A) - Entroncamento SPA 099/139 /;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Nestor Fogaça;Lei 2.175 de 26/11/79; ; ;250SPE4775
SP 268;Eixo;Radial;Estadual;Itapetininga;CGR02;Itapetininga;161,500;164,190;2,690;Divisa Municipal Alambari / Itapetininga;Entroncamento SP 127 (km 145);Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Humberto Pellegrini, Vereador;Lei 6.879 de 06/06/90; ; ;268SPE9127
