CONCESSIONÁRIA,RODOVIA,KM,SENTIDO,OC,REGIÃO ADMINISTRATIVA,MUNICÍPIO,EVENTO,DATA INICIAL,DATA RECUPERAÇÃO,CONDIÇÃO,LOCAIS INTERDITADOS
L21-TIETÊ,SP300,"176,400",LESTE,92,SOROCABA,LARANJAL PAULISTA,EROSÃO,2022-03-18 00:00:00,2022-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"353,165",SUL,5078,ITAPEVA,ITAPORANGA,EROSÃO,2022-03-18 00:00:00,2022-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP065,"14,700",NORTE,142,SÃO JOSÉ DOS CAMPOS,JACAREI,QUEDA DE TALUDE,2022-03-17 00:00:00,2022-03-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L12-VIAOESTE,SP280,"30,000",LESTE,201,REG. METROPOLITANA SÃO PAULO,JANDIRA,EROSÃO,2022-03-17 00:00:00,2022-03-17 00:00:00,COM INTERDIÇÃO,FAIXA 4
L28-ENTREVIAS,SP294,"455,487",OESTE,230020,MARÍLIA,MARILIA,QUEDA DE TALUDE,2022-03-17 00:00:00,2022-03-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L30-EIXOSP,SP294,"529,400",LESTE,5599,MARÍLIA,TUPA,EROSÃO,2022-03-17 00:00:00,2022-03-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"32,000",NORTE,357,REG. METROPOLITANA SÃO PAULO,CAJAMAR,EROSÃO,2022-03-16 00:00:00,2022-03-17 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L12-VIAOESTE,SP280,"69,000",OESTE,472,SOROCABA,ITU,QUEDA DE TALUDE,2022-03-16 00:00:00,2022-03-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"99,000",LESTE,109,SOROCABA,PORTO FELIZ,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,COM INTERDIÇÃO,FAIXA 1
L22-ECOVIAS IMIGRANTES,SP055,"264,000",OESTE,176,SANTOS,CUBATAO,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP160,"59,000",SUL,180,SANTOS,CUBATAO,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,COM INTERDIÇÃO,"FAIXA 1, FAIXA 2"
L22-ECOVIAS IMIGRANTES,SP160,"65,000",NORTE,190,SANTOS,SAO VICENTE,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L23-LESTE PAULISTA,SP070,"25,000",OESTE,134,REG. METROPOLITANA SÃO PAULO,GUARULHOS,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L23-LESTE PAULISTA,SP070,"25,000",LESTE,135,REG. METROPOLITANA SÃO PAULO,GUARULHOS,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SPA325/322,"7,400",LESTE,229935,RIBEIRÃO PRETO,RIBEIRAO PRETO,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,COM INTERDIÇÃO,FAIXA 2
L29-VIAPAULISTA,SP255,"84,000",NORTE,4465,CENTRAL,ARARAQUARA,ALAGAMENTO,2022-03-16 00:00:00,2022-03-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"86,000",NORTE,4466,CENTRAL,ARARAQUARA,ALAGAMENTO,2022-03-16 00:00:00,2022-03-16 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP330,"27,900",SUL,10,REG. METROPOLITANA SÃO PAULO,SAO PAULO,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-15 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP330,"27,400",SUL,15,REG. METROPOLITANA SÃO PAULO,SAO PAULO,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-15 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L03-TEBE,SP326,"421,000",SUL,1,BARRETOS,BARRETOS,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP065,"107,050",SUL,104,CAMPINAS,ATIBAIA,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L12-VIAOESTE,SP280,"68,200",LESTE,345,SOROCABA,MAIRINQUE,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-16 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L12-VIAOESTE,SP280,"69,000",OESTE,399,SOROCABA,ITU,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-16 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L13-COLINAS,SP300,"137,000",LESTE,154,SOROCABA,PORTO FELIZ,ALAGAMENTO,2022-03-15 00:00:00,2022-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP300,"138,500",LESTE,181,SOROCABA,PORTO FELIZ,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-15 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L13-COLINAS,SP300,"137,000",LESTE,183,SOROCABA,PORTO FELIZ,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"175,500",LESTE,5,SOROCABA,LARANJAL PAULISTA,QUEDA DE TALUDE,2022-03-15 00:00:00,2022-03-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"176,500",LESTE,43,SOROCABA,LARANJAL PAULISTA,EROSÃO,2022-03-15 00:00:00,2022-03-15 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
