PERIODO,KM,severidade,risco_previsto
2025-09,36,0.0,3.0844910676291732
2025-11,310,0.0,3.0817292581890015
2025-03,36,2.0,3.0808677002371376
2025-05,100,16.0,3.079467051071067
2025-05,56,0.0,3.070810460501227
2025-12,309,1.0,3.0653793780160186
2025-01,14,1.0,3.0647702813873496
2025-04,64,0.0,3.0575242926200774
2025-01,41,0.0,3.0526016512035774
2025-02,64,3.0,3.041961480519128
2025-04,14,4.0,3.03688084593221
2025-04,56,0.0,3.033717495432571
2025-10,56,1.0,3.0316729540850695
2025-06,1,4.0,3.030689074914124
2025-07,100,1.0,3.0236149947385975
2025-01,11,2.0,3.022508037096844
2025-11,309,1.0,3.0167698383270714
2025-06,23,26.0,3.014127054698445
2025-12,101,0.0,2.99851253798317
2025-06,64,0.0,2.9941638420587924
2025-11,97,3.0,2.9895064096813337
2025-11,21,0.0,2.9854602153504883
2025-07,23,0.0,2.9854570521973733
2025-07,16,0.0,2.98491216246321
2025-07,1,1.0,2.983093835096651
2025-03,114,4.0,2.9792060292467335
2025-03,99,0.0,2.972641278437184
2025-02,58,6.0,2.970613243778847
2025-07,113,1.0,2.969575979090321
2025-08,76,0.0,2.966109872438488
2025-05,314,4.0,2.965821216412666
2025-05,1,2.0,2.9654038358568
2025-08,36,1.0,2.958181456439959
2025-01,24,1.0,2.9562262848153877
2025-07,14,0.0,2.9549270185268846
2025-06,16,2.0,2.949301060525047
2025-08,100,3.0,2.94922157959364
2025-05,113,0.0,2.9476127276065727
2025-12,307,1.0,2.9450896685790924
2025-08,14,0.0,2.9400456944480187
2025-11,307,1.0,2.931638750726443
2025-02,53,1.0,2.9299165991387013
2025-05,14,1.0,2.9208600140980927
2025-12,26,0.0,2.920756317734691
2025-06,93,2.0,2.917526647667846
2025-05,99,3.0,2.9170660319253185
2025-06,36,0.0,2.913961159669946
2025-04,113,0.0,2.910003496228207
2025-04,53,1.0,2.909626275289416
2025-05,21,4.0,2.899828769073549
2025-05,310,2.0,2.898549956723138
2025-09,23,0.0,2.8948700804102048
2025-01,314,0.0,2.8932494207461104
2025-10,89,1.0,2.892128996292166
2025-01,105,3.0,2.889266892309908
